17:7:2023 | 11:39:24 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 11:49:19 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 14:46:58 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 14:57:13 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 15:4:50 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 15:12:9 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 15:25:14 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 15:37:53 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 15:40:12 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 15:44:16 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 17:7:2023 | 18:17:16 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 11:26:8 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 11:26:8 @ >> D++ | LOG: ok
 18:7:2023 | 11:26:8 @ >> D++ | LOG: ok
 18:7:2023 | 11:26:8 @ >> D++ | LOG: ok
 18:7:2023 | 11:26:8 @ >> D++ | LOG: ok
 18:7:2023 | 11:28:51 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 11:28:51 @ >> D++ | LOG: so
 18:7:2023 | 11:28:51 @ >> D++ | LOG: cool
 18:7:2023 | 11:28:51 @ >> D++ | LOG: ok
 18:7:2023 | 11:28:51 @ >> D++ | LOG: ok
 18:7:2023 | 11:36:52 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 11:36:52 @ >> D++ | LOG: ok
 18:7:2023 | 11:36:52 @ >> D++ | LOG: ok
 18:7:2023 | 11:36:52 @ >> D++ | LOG: ok
 18:7:2023 | 11:36:52 @ >> D++ | LOG: ok
 18:7:2023 | 11:39:37 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 11:39:37 @ >> D++ | LOG: so
 18:7:2023 | 11:39:37 @ >> D++ | LOG: cool
 18:7:2023 | 11:39:37 @ >> D++ | LOG: ok
 18:7:2023 | 11:39:37 @ >> D++ | LOG: ok
 18:7:2023 | 11:46:14 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 11:46:14 @ >> D++ | LOG: sscanf
 18:7:2023 | 11:46:14 @ >> D++ | LOG: is
 18:7:2023 | 11:46:14 @ >> D++ | LOG: ok
 18:7:2023 | 11:46:14 @ >> D++ | LOG: ok
 18:7:2023 | 11:54:14 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 11:54:14 @ >> D++ | LOG: sscanf
 18:7:2023 | 11:54:14 @ >> D++ | LOG: is
 18:7:2023 | 11:54:14 @ >> D++ | LOG: ok
 18:7:2023 | 11:54:14 @ >> D++ | LOG: ok
 18:7:2023 | 12:10:2 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:10:2 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:10:2 @ >> D++ | LOG: is
 18:7:2023 | 12:10:2 @ >> D++ | LOG: ok
 18:7:2023 | 12:10:2 @ >> D++ | LOG: ok
 18:7:2023 | 12:20:55 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:20:55 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:20:55 @ >> D++ | LOG: is
 18:7:2023 | 12:20:55 @ >> D++ | LOG: so
 18:7:2023 | 12:20:55 @ >> D++ | LOG: cool
 18:7:2023 | 12:22:46 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:22:46 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:22:46 @ >> D++ | LOG: is
 18:7:2023 | 12:22:46 @ >> D++ | LOG: so
 18:7:2023 | 12:22:46 @ >> D++ | LOG: cool
 18:7:2023 | 12:24:40 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:24:40 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:24:40 @ >> D++ | LOG: is
 18:7:2023 | 12:24:40 @ >> D++ | LOG: so
 18:7:2023 | 12:24:40 @ >> D++ | LOG: cool
 18:7:2023 | 12:28:24 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:28:24 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:28:24 @ >> D++ | LOG: is
 18:7:2023 | 12:28:24 @ >> D++ | LOG: so
 18:7:2023 | 12:28:24 @ >> D++ | LOG: cool
 18:7:2023 | 12:30:49 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:30:49 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:30:49 @ >> D++ | LOG: is
 18:7:2023 | 12:30:49 @ >> D++ | LOG: so
 18:7:2023 | 12:30:49 @ >> D++ | LOG: cool
 18:7:2023 | 12:33:28 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:33:28 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:33:28 @ >> D++ | LOG: is
 18:7:2023 | 12:33:28 @ >> D++ | LOG: so
 18:7:2023 | 12:33:28 @ >> D++ | LOG: cool
 18:7:2023 | 12:36:58 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:36:58 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:36:58 @ >> D++ | LOG: is
 18:7:2023 | 12:36:58 @ >> D++ | LOG: so
 18:7:2023 | 12:36:58 @ >> D++ | LOG: cool
 18:7:2023 | 12:38:50 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 12:38:50 @ >> D++ | LOG: sscanf
 18:7:2023 | 12:38:50 @ >> D++ | LOG: is
 18:7:2023 | 12:38:51 @ >> D++ | LOG: so
 18:7:2023 | 12:38:51 @ >> D++ | LOG: cool
 18:7:2023 | 13:33:51 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 18:7:2023 | 13:33:51 @ >> D++ | LOG: sscanf
 18:7:2023 | 13:33:51 @ >> D++ | LOG: is
 18:7:2023 | 13:33:51 @ >> D++ | LOG: so
 18:7:2023 | 13:33:51 @ >> D++ | LOG: cool
 19:7:2023 | 14:12:48 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:12:48 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:12:49 @ >> D++ | LOG: is
 19:7:2023 | 14:12:49 @ >> D++ | LOG: so
 19:7:2023 | 14:12:49 @ >> D++ | LOG: cool
 19:7:2023 | 14:17:2 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:17:2 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:17:2 @ >> D++ | LOG: is
 19:7:2023 | 14:17:2 @ >> D++ | LOG: so
 19:7:2023 | 14:17:2 @ >> D++ | LOG: cool
 19:7:2023 | 14:20:34 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:20:34 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:20:34 @ >> D++ | LOG: is
 19:7:2023 | 14:20:34 @ >> D++ | LOG: so
 19:7:2023 | 14:20:34 @ >> D++ | LOG: cool
 19:7:2023 | 14:34:35 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:34:35 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:34:35 @ >> D++ | LOG: is
 19:7:2023 | 14:34:35 @ >> D++ | LOG: so
 19:7:2023 | 14:34:35 @ >> D++ | LOG: cool
 19:7:2023 | 14:37:28 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:37:28 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:37:28 @ >> D++ | LOG: is
 19:7:2023 | 14:37:28 @ >> D++ | LOG: so
 19:7:2023 | 14:37:28 @ >> D++ | LOG: cool
 19:7:2023 | 14:44:58 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 14:44:59 @ >> D++ | LOG: sscanf
 19:7:2023 | 14:44:59 @ >> D++ | LOG: is
 19:7:2023 | 14:44:59 @ >> D++ | LOG: so
 19:7:2023 | 14:44:59 @ >> D++ | LOG: cool
 19:7:2023 | 16:51:3 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 16:51:3 @ >> D++ | LOG: sscanf
 19:7:2023 | 16:51:3 @ >> D++ | LOG: is
 19:7:2023 | 16:51:3 @ >> D++ | LOG: so
 19:7:2023 | 16:51:3 @ >> D++ | LOG: cool
 19:7:2023 | 16:58:24 @ >> D++ | LOG: This should be in dpp.log in scriptfiles/
 19:7:2023 | 16:58:24 @ >> D++ | LOG: sscanf
